index,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
84,1.738473140336E12,-0.77,0.12,0.92,-4.46,-21.61,45.1
85,1.738473140429E12,-0.65,0.04,0.93,-1.4,-32.84,109.68
86,1.738473140486E12,-0.39,-0.04,0.85,-6.1,-44.98,148.56
87,1.738473140575E12,-0.06,-0.07,0.81,-13.12,-34.3,169.49
88,1.738473140665E12,0.23,-0.08,0.88,-22.46,-24.66,173.71
89,1.738473140724E12,0.32,-0.15,0.93,-32.47,-21.73,154.05
90,1.738473140816E12,0.65,-0.25,1.04,-34.48,-23.44,124.27
91,1.738473140908E12,1.02,0.03,1.07,-12.63,-28.93,30.82
92,1.738473140965E12,0.37,-0.11,1.03,4.15,25.15,10.5
93,1.738473141054E12,0.72,-0.16,1.2,20.08,15.44,-65.12
94,1.73847314118E12,0.51,-0.15,1.03,39.86,29.11,-116.52
95,1.738473141237E12,0.04,-0.08,0.81,40.34,14.71,-144.65
96,1.738473141294E12,-0.03,0.01,0.85,26.49,25.45,-135.86
97,1.738473141387E12,-0.18,0.04,0.87,14.4,13.24,-129.82
98,1.738473141476E12,-0.19,0.1,0.91,5.37,21.55,-110.9
99,1.738473141564E12,-0.25,0.1,0.88,5.98,28.87,-103.45
100,1.738473141624E12,-0.49,0.07,0.93,5.13,32.47,-93.38
101,1.738473141715E12,-0.74,0.14,0.92,9.83,20.81,-50.11
102,1.738473141804E12,-0.96,0.14,0.77,3.85,-2.26,9.83
103,1.738473141895E12,-0.75,0.1,0.85,-10.62,-43.4,80.26
104,1.738473141959E12,-0.52,0.02,0.88,-11.96,-49.32,124.82
105,1.738473142053E12,-0.23,-0.04,0.86,-11.11,-47.97,156.74
106,1.738473142105E12,0.12,-0.13,0.91,-15.32,-38.39,173.4
107,1.738473142194E12,0.25,-0.19,0.9,-23.62,-36.93,161.56
108,1.738473142286E12,0.42,-0.1,0.93,-18.31,-19.71,129.88
109,1.738473142377E12,0.6,-0.16,1.04,-17.88,-6.1,96.44
110,1.738473142435E12,1.0,0.03,1.22,8.73,-17.64,-2.75
111,1.738473142525E12,0.7,-0.05,1.14,-27.59,18.37,-12.15
112,1.738473142616E12,0.47,-0.14,1.05,26.86,24.41,-75.5
113,1.738473142706E12,0.33,-0.12,0.98,39.43,16.17,-127.26
114,1.738473142764E12,0.14,-0.06,0.85,33.39,14.4,-140.38
115,1.738473142855E12,-0.01,0.03,0.93,28.14,30.46,-127.32
116,1.738473142946E12,-0.11,0.04,0.81,24.17,22.83,-133.12
117,1.738473143035E12,-0.27,0.08,0.91,16.36,25.27,-122.13
118,1.738473143094E12,-0.36,0.11,0.83,16.42,41.5,-106.93
119,1.738473143188E12,-0.8,0.12,0.8,12.94,33.39,-81.42
120,1.738473143275E12,-1.02,0.17,0.82,9.52,13.24,-25.88
121,1.738473143338E12,-0.88,0.15,0.79,-9.83,-35.64,70.56
122,1.738473143434E12,-0.67,0.02,0.82,-13.61,-49.26,128.85
123,1.738473143515E12,-0.33,-0.06,0.82,-17.7,-50.9,165.1
124,1.738473143574E12,-0.04,-0.09,0.76,-24.84,-34.97,181.34
125,1.738473143663E12,0.27,-0.1,0.89,-32.96,-30.33,170.29
126,1.73847314376E12,0.52,-0.18,0.96,-46.69,-23.8,154.6
127,1.738473143844E12,0.56,-0.04,0.93,-24.66,-11.11,91.37
128,1.738473143904E12,0.88,0.03,1.24,-9.7,-18.31,27.53
129,1.738473143995E12,0.77,-0.07,1.17,-17.58,7.08,-9.64
130,1.738473144091E12,0.5,-0.13,1.05,31.07,19.23,-84.05
131,1.738473144176E12,0.35,-0.09,0.97,33.14,13.37,-121.09
132,1.738473144234E12,0.07,-0.07,0.91,31.19,8.54,-140.81
133,1.73847314433E12,0.04,0.06,0.89,22.71,26.67,-128.36
134,1.738473144418E12,-0.15,0.04,0.9,16.48,13.12,-130.25
135,1.738473144474E12,-0.21,0.09,0.88,16.3,35.58,-117.61
136,1.738473144564E12,-0.38,0.12,0.87,17.46,40.53,-108.64
137,1.738473144658E12,-0.69,0.17,0.88,18.55,36.56,-88.56
138,1.738473144715E12,-0.94,0.21,0.81,4.21,10.86,-21.79
139,1.738473144806E12,-0.92,0.17,0.76,-11.05,-31.56,63.72
140,1.738473144899E12,-0.58,0.14,0.89,-19.35,-51.94,112.18
141,1.73847314499E12,-0.32,-0.04,0.82,-21.73,-47.73,164.86
142,1.738473145045E12,-0.19,-0.06,0.81,-23.56,-44.62,163.09
143,1.73847314514E12,0.16,-0.05,0.85,-32.29,-31.62,166.75
144,1.738473145232E12,0.36,-0.17,0.94,-49.13,-28.87,172.97
145,1.738473145315E12,0.68,-0.21,1.06,-34.91,-16.66,123.29
146,1.738473145376E12,1.17,-0.38,1.35,13.73,-53.04,-41.81
147,1.738473145469E12,0.95,-0.03,1.04,12.15,3.05,-58.78
148,1.738473145561E12,0.45,-0.16,0.95,24.29,30.15,-97.23
149,1.738473145652E12,0.24,-0.12,0.94,30.52,30.03,-140.75
150,1.738473145734E12,0.07,-0.04,0.84,24.17,15.69,-141.11
151,1.738473145824E12,-0.28,0.11,0.74,24.35,-10.38,-137.82
152,1.738473145856E12,-0.64,0.16,0.89,-3.11,-97.96,-47.3
153,1.738473145945E12,-0.33,0.29,1.01,-11.23,-102.72,60.73
154,1.738473146035E12,0.13,0.18,0.78,62.19,-157.04,152.65
155,1.738473146127E12,0.47,-0.03,0.68,5.68,-149.96,160.64
156,1.738473146187E12,0.81,-0.18,0.68,-29.97,-122.25,115.42
157,1.738473146275E12,0.93,-0.33,0.49,22.58,-108.64,109.01
158,1.738473146367E12,0.86,-0.53,0.39,19.41,-182.8,71.59
159,1.738473146456E12,0.93,0.12,0.04,-33.08,-66.83,-99.79
160,1.738473146516E12,1.26,-0.24,0.07,13.43,-136.05,-106.14
161,1.738473146605E12,1.0,-0.08,-0.02,-0.55,11.78,1.16
162,1.738473146696E12,0.99,-0.09,-0.08,0.24,-6.59,0.43
163,1.73847314679E12,1.0,-0.08,-0.08,-0.18,-7.51,-0.55
164,1.738473146844E12,0.99,-0.08,-0.09,0.12,-6.96,-0.92
165,1.738473146935E12,0.99,-0.08,-0.1,-0.12,-6.23,-0.67
166,1.738473146994E12,0.99,-0.08,-0.1,0.24,-6.04,-0.55
167,1.738473147121E12,0.99,-0.08,-0.11,0.24,-5.07,-0.43
168,1.738473147174E12,0.99,-0.08,-0.11,-0.12,-4.58,-0.43
169,1.738473147264E12,0.99,-0.08,-0.12,-0.06,-4.46,-0.37
170,1.738473147323E12,0.99,-0.07,-0.12,0.12,-4.09,-0.37
171,1.738473147421E12,0.99,-0.07,-0.13,0.24,-3.85,-0.31
172,1.738473147504E12,0.99,-0.07,-0.13,0.18,-3.66,-0.12
