time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,-0.03,-0.06,-1.01,-0.18,-0.98,0.12
2,-0.04,-0.07,-1.01,-0.24,-0.73,0.24
3,-0.03,-0.06,-1.01,-0.49,-0.73,0.24
4,-0.03,-0.07,-1.01,0.0,-0.73,0.24
5,-0.03,-0.07,-1.01,-0.24,-0.98,0.24
6,-0.04,-0.07,-1.01,0.06,-0.85,0.24
7,-0.04,-0.06,-1.01,-0.18,-1.16,0.24
8,-0.04,-0.07,-1.01,-0.06,-0.98,0.31
9,-0.04,-0.07,-1.01,-0.18,-1.1,0.24
10,-0.03,-0.07,-1.01,-0.37,-0.85,0.24
11,-0.03,-0.07,-1.01,-1.77,-0.61,0.18
12,-0.03,-0.06,-0.98,-1.53,-0.37,0.31
13,-0.04,-0.07,-1.01,-0.12,-1.28,0.31
14,-0.03,-0.07,-1.01,-0.06,-0.85,0.24
15,-0.03,-0.07,-1.01,-0.37,-1.04,0.24
16,-0.03,-0.07,-1.01,-0.12,-0.92,0.24
17,-0.04,-0.07,-1.01,-0.24,-1.1,0.18
18,-0.03,-0.07,-1.01,-0.06,-0.85,0.24
19,-0.04,-0.07,-1.01,-0.31,-0.79,0.18
20,-0.03,-0.07,-1.01,-0.18,-1.04,0.24
21,-0.04,-0.07,-1.01,-0.31,-0.92,0.31
22,-0.04,-0.07,-1.01,-0.31,-0.92,0.24
23,-0.03,-0.07,-1.01,-0.18,-0.98,0.18
24,-0.04,-0.07,-1.01,-0.06,-0.92,0.24
25,-0.03,-0.07,-1.01,-0.24,-1.16,0.18
26,-0.04,-0.07,-1.01,-0.06,-0.98,0.18
27,-0.04,-0.07,-1.01,-0.31,-1.04,0.18
28,-0.04,-0.07,-1.01,0.0,-0.92,0.24
29,-0.03,-0.07,-1.01,-0.18,-0.85,0.24
30,-0.04,-0.07,-1.01,-0.37,-0.79,0.24
31,-0.04,-0.07,-1.01,-0.79,-0.67,0.18
32,-0.04,-0.07,-1.01,-0.43,-0.85,0.24
33,-0.04,-0.06,-1.01,0.0,-1.04,0.31
34,-0.04,-0.07,-1.01,0.43,-1.34,0.31
35,-0.04,-0.07,-1.01,0.18,-1.1,0.24
36,-0.03,-0.07,-1.01,0.06,-0.92,0.18
37,-0.03,-0.07,-1.01,-0.12,-1.16,0.18
