time,x,y,z,w
1,-0.19040644540430698,0.02093051949504171,-0.05352778720158691,0.08834407993346034
2,-0.19593158731553492,0.015376889794580453,-0.06859994659832418,0.08119221106292934
3,-0.17467956705697063,0.028540996780669084,-0.10629808624455368,0.06612863720809636
4,-0.12262546049315332,0.062486333684742844,-0.15874458091551352,0.036817469899434095
5,-0.08101955439021409,0.09645514695069439,-0.1969571262447686,-0.012191100935574795
6,-0.025605691845514717,0.11585453063023,-0.22989311347836064,-0.06961440447967904
7,0.04226838185363405,0.1125639675600782,-0.23423722932353228,-0.11876862910865967
8,0.11655430679856334,0.07886896063621475,-0.20710104437002497,-0.11897333488694052
9,0.1683066723591691,0.0495395474009265,-0.15152686627403308,-0.09591276553671613
10,0.19159783844743938,0.011020397263067435,-0.12044015222691791,-0.09954279159688799
11,0.20708658112160125,-0.0048528391987220365,-0.13600547138410365,-0.09917864066052574
12,0.17992696467289002,-0.002680198773164444,-0.16362756192923722,-0.12412100763768198
13,0.11956566908237713,0.018015888303005673,-0.20849782605820744,-0.12210342953987945
14,0.04041695545389716,0.02299136296081572,-0.2372335387360944,-0.09223493837550985
15,-0.04810656778028741,0.012062200535799686,-0.2417182615031335,-0.08680910783108901
16,-0.13973321973743735,0.043251832988454086,-0.21110318579666987,-0.07016710725399417
17,-0.18345870206465473,0.07494938046461173,-0.17431916172328674,-0.0658248243092035
